nama_produk,kategori,harga,kualitas,garansi,instalasi,support,maintenance,deskripsi
Paket 2 Kamera Hikvision,CCTV,3390000,1 Indoor 2Mp,1 Outdoor 2Mp DVR 4Ch,HDD 500GB,HDD 500GB,Kabel 30M,Instalasi + setting
Paket 3 Kamera Hikvision,CCTV,3790000,2 Indoor 2Mp,1 Outdoor 2Mp DVR 4Ch,HDD 500GB,HDD 500GB,Kabel 40M,Instalasi + setting
Paket 4 Kamera Hikvision,CCTV,4350000,2 Indoor 2Mp,2 Outdoor 2Mp DVR 4Ch,HDD 500GB,HDD 500GB,Kabel 60M,Instalasi + setting
Paket 6 Kamera Hikvision,CCTV,6390000,3 Indoor 2Mp,3 Outdoor 2Mp DVR 8Ch,HDD 1TB,HDD 1TB,Kabel 90M,Instalasi + setting
Paket 8 Kamera Hikvision,CCTV,7890000,4 Indoor 2Mp,4 Outdoor 2Mp DVR 8Ch,HDD 1TB,HDD 1TB,Kabel 120M,Instalasi + setting
Paket 16 Kamera Hikvision,CCTV,14899000,8 Indoor 2Mp,8 Outdoor 2Mp DVR 16Ch,HDD 2TB,HDD 2TB,Kabel 240M,Instalasi + setting
